aaek,1=阿
bojc,1=镈
bojd,1=钹
boky,1=啵
bokz,1=哱
bold,1=卜
bomb,1=柏
bomc,1=榑
bomx,1=驳
bomz,1=桲
booc,1=膊
booz,1=脖
bopd,1=袯
borb,1=伯
boub,1=砵
bouc,1=礴
boul,1=勃
boum,1=檗
boun,1=鹁
bout,1=磻
bouu,1=擘
bouz,1=饽
bovb,1=舶
bovc,1=簿
boed,1=剥
bovy,1=簸
bowq,1=亳
bowy,1=玻
bozk,1=踣
bozy,1=跛
bpbb,1=瘪
bpda,1=鳖
bpdr,1=蹩
bpdx,1=憋
bpkd,1=别
buad,1=不
bukb,1=卟
buof,1=晡
burt,1=堡
butf,1=埔
buvc,1=簿
buvp,1=步
buxj,1=怖
buyn,1=醭
buzf,1=逋
bwck,1=蓓
bwey,1=陂
bwfi,1=辈
bwfx,1=悲
bwgu,1=庳
bwgy,1=鞴
bwhk,1=焙
bwjr,1=钡
bwkr,1=贝
bwlb,1=北
bwlo,1=背
bwmb,1=杯
bwmu,1=椑
bwmy,1=糒
bwpn,1=鹎
bwpu,1=卑
bwpy,1=被
bwrk,1=倍
bwuj,1=鐾
bwuk,1=碚
bwul,1=勃
bwuo,1=臂
bwwt,1=备
bwwx,1=惫
cafi,1=拆
cafx,1=擦
cakx,1=嚓
ccao,1=曹
cccu,1=草
ccfm,1=操
ccio,1=螬
ccko,1=嘈
ccmo,1=槽
ccmz,1=糙
ccvo,1=艚
cdap,1=才
cdcm,1=菜
cdcx,1=蔡
cdkc,1=财
cdom,1=睬
cdpm,1=采
cdpp,1=彩
cdqo,1=猜
cduy,1=裁
cdzm,1=踩
cedd,1=测
ceid,1=厕
cemc,1=栅
cepa,1=册
cerd,1=侧
cevn,1=策
cexd,1=恻
cfdv,1=涔
cfev,1=岑
cfsp,1=参
cgbo,1=曾
cgeo,1=嶒
cgko,1=噌
cgus,1=层
cgzo,1=蹭
chci,1=藏
chdv,1=沧
chrn,1=鸧
chrv,1=伧
chvv,1=舱
chwv,1=玱
ciad,1=刺
cibb,1=疵
cibn,1=鹚
cibx,1=慈
ciby,1=兹
cicb,1=茈
cicd,1=莿
cicr,1=茨
cidb,1=泚
cidr,1=次
cidw,1=瓷
cikb,1=呲
cikw,1=赐
cimy,1=糍
cirk,1=伺
cirr,1=佽
ciuy,1=磁
civb,1=此
civf,1=雌
ciwb,1=玼
ciyg,1=差
cizb,1=跐
cjfp,1=掺
cjhp,1=黪
cjll,1=餐
cjlm,1=粲
cjmp,1=骖
cjsp,1=参
cjti,1=蚕
cjuz,1=孱
cjwm,1=璨
cjxj,1=惭
cobg,1=瘥
cobt,1=痤
coct,1=莝
coeg,1=嵯
cofo,1=措
coft,1=挫
cofy,1=撮
coio,1=厝
cojo,1=错
colg,1=鹾
cone,1=酂
coot,1=脞
coug,1=磋
cout,1=矬
cowg,1=瑳
cozg,1=蹉
crbi,1=窜
crfi,1=撺
crfr,1=攒
crph,1=爨
crvs,1=篡
crzi,1=蹿
csbd,1=匆
cscr,1=苁
cscx,1=葱
csdx,1=淙
csex,1=聪
csmr,1=枞
csmx,1=骢
cspw,1=囱
csra,1=丛
csrr,1=从
cswx,1=璁
csxx,1=悰
cuar,1=蹙
cudq,1=殂
cuiq,1=徂
cumq,1=粗
cuqu,1=猝
curr,1=促
cuvu,1=簇
cuwr,1=蹙
cuyo,1=醋
cuyv,1=酢
cuzy,1=蹴
cvbu,1=瘁
cvdf,1=漼
cvdu,1=淬
cvef,1=崔
cveu,1=崒
cvff,1=摧
cvku,1=啐
cvmu,1=粹
cvmy,1=榱
cvov,1=脆
cvrf,1=催
cvsy,1=缞
cvwf,1=璀
cvwy,1=衰
cvxu,1=悴
cyad,1=寸
cymc,1=村
cysy,1=皴
cyte,1=邨
cyuz,1=存
cyxc,1=忖
czdt,1=凑
czit,1=辏
czot,1=腠
dacz,1=荙
dade,1=耷
dadk,1=溚
dafd,1=打
dafk,1=搭
daga,1=靼
dakk,1=嗒
daun,1=大
dauo,1=沓
dava,1=笪
davk,1=答
daxa,1=怛
dazz,1=跶
dcad,1=到
dcfd,1=捯
dcfe,1=捣
dcfh,1=焘
dcfx,1=纛
dcjc,1=帱
dckd,1=叨
dcmc,1=梼
dcpc,1=祷
dcpe,1=岛
dcrd,1=倒
dcsc,1=导
dcvd,1=舠
dcvp,1=刀
dcxd,1=忉
dczj,1=蹈
ddax,1=歹
ddez,1=叇
ddic,1=待
ddid,1=轪
ddkm,1=呆
ddkt,1=呔
ddmn,1=棣
ddre,1=岱
ddrh,1=黛
ddrr,1=贷
ddrt,1=垈
ddru,1=傣
ddry,1=袋
ddsk,1=绐
ddsx,1=怠
ddtn,1=埭
ddub,1=戴
ddun,1=大
ddwy,1=玳
ddyk,1=诒
ddzk,1=迨
ddzn,1=逮
debu,1=的
deic,1=得
deix,1=德
dejc,1=锝
dekc,1=嘚
dety,1=地
dfft,1=扽
dgda,1=澄
dgea,1=嶝
dghd,1=灯
dgja,1=镫
dgka,1=噔
dgoa,1=瞪
dgog,1=戥
dgua,1=磴
dgva,1=登
dgvj,1=凳
dgwa,1=璒
dgxa,1=憕
dgye,1=邓
dgza,1=蹬
dhbu,1=宕
dhcp,1=荡
dhcu,1=菪
dhfe,1=挡
dhje,1=铛
dhpe,1=裆
dhte,1=垱
dhuk,1=凼
dhup,1=砀
dhwe,1=珰
dhxe,1=当
diay,1=髢
dibp,1=弟
dich,1=荻
dicj,1=蒂
dicu,1=菂
dide,1=邸
didk,1=滴
difd,1=抵
difr,1=提
digd,1=骶
digr,1=鞮
dijk,1=镝
dikk,1=嘀
dimd,1=柢
dimn,1=棣
dinj,1=媂
dink,1=嫡
dinp,1=娣
diop,1=睇
diqh,1=狄
diqw,1=敌
dird,1=低
dirm,1=籴
ditd,1=坻
ditr,1=堤
dity,1=地
diud,1=砥
diue,1=觌
diuj,1=碲
diul,1=䃅
diur,1=疐
divp,1=第
divy,1=笛
dixf,1=翟
diyd,1=诋
dizj,1=遆
dizk,1=蹢
dizp,1=递
dizr,1=踶
dizy,1=迪
djak,1=石
djba,1=疸
djbe,1=郸
djbl,1=瘅
djcj,1=萏
djdl,1=殚
djer,1=聃
djev,1=耽
djfa,1=担
djfl,1=掸
djkh,1=赕
djoa,1=旦
djov,1=眈
djpa,1=丹
djqh,1=氮
djra,1=但
djrk,1=儋
djva,1=疍
djwa,1=亶
djxh,1=惔
djxk,1=憺
dkal,1=丁
dkbd,1=疔
dkbr,1=定
dkcr,1=萣
dked,1=耵
dkjd,1=钉
dkjr,1=锭
dkjz,1=铤
dkkd,1=叮
dkkr,1=啶
dkod,1=盯
dkor,1=腚
dkov,1=鼎
dkrd,1=仃
dktd,1=町
dkur,1=碇
dkwd,1=玎
dkyd,1=酊
dmbd,1=奠
dmbr,1=癫
dmbt,1=甸
dmby,1=癜
dmdb,1=滇
dmdr,1=淀
dmek,1=阽
dmer,1=巅
dmfk,1=掂
dmfr,1=靛
dmft,1=垫
dmgk,1=店
dmhk,1=扂
dmjt,1=钿
dmlb,1=典
dmlh,1=点
dmlv,1=电
dmrt,1=佃
dmtk,1=坫
dmub,1=碘
dmur,1=颠
dmwk,1=玷
dmwr,1=琔
dmzk,1=踮
dnak,1=鲷
dnbn,1=窎
dnfu,1=掉
dnjd,1=铫
dnjj,1=铞
dnkd,1=叼
dnkf,1=雕
dnkj,1=吊
dnmk,1=椆
dnpa,1=鸟
dnuk,1=碉
dnvk,1=貂
dnwd,1=鸟
dnyk,1=调
doeo,1=隋
doet,1=堕
doex,1=隳
dofy,1=掇
dogy,1=度
dojd,1=剁
dojl,1=铎
doki,1=咄
dokm,1=哚
dokx,1=哆
domb,1=柁
domd,1=杕
dopy,1=裰
doti,1=埵
doty,1=㙍
doum,1=躲
dovb,1=舵
dowl,1=亸
doxo,1=惰
doyd,1=剟
dozm,1=跺
dozy,1=踱
dpam,1=鲽
dpbx,1=爹
dpgu,1=瓞
dpim,1=蝶
dpkm,1=喋
dpkt,1=咥
dplt,1=耋
dpmm,1=楪
dpop,1=䏲
dpou,1=昳
dpst,1=绖
dptm,1=堞
dptt,1=垤
dpum,1=碟
dpym,1=谍
dpyq,1=叠
dpzm,1=蹀
dpzu,1=跌
dqjs,1=铥
dqps,1=丢
dree,1=耑
drjy,1=锻
drmy,1=椴
drpy,1=段
drsy,1=缎
drty,1=塅
drua,1=短
drvj,1=簖
drwy,1=瑖
dsad,1=东
dscv,1=董
dsdd,1=冻
dsdk,1=洞
dsdn,1=鸫
dsed,1=岽
dsek,1=峒
dsel,1=动
dshk,1=烔
dsod,1=胨
dsok,1=胴
dsqd,1=氡
dsrk,1=侗
dsuk,1=硐
dswd,1=冬
dsxk,1=恫
dsxv,1=懂
duct,1=芏
dudd,1=渎
dudy,1=渡
dufm,1=毒
dugi,1=髑
dujy,1=镀
duke,1=嘟
duko,1=赌
dumd,1=椟
dumt,1=杜
dund,1=犊
dunk,1=姤
duoo,1=睹
duot,1=肚
dupd,1=牍
duto,1=堵
duuo,1=督
duvm,1=笃
duvs,1=厾
dvbe,1=兑
dver,1=队
dvjw,1=镦
dvpy,1=祋
dvtf,1=堆
dvuf,1=碓
dvyc,1=对
dvzk,1=追
dwic,1=得
dxkx,1=嗲
dydt,1=沌
dyht,1=炖
dykt,1=囤
dymo,1=楯
dyot,1=盹
dypo,1=盾
dytr,1=顿
dytt,1=坉
dytw,1=墩
dyut,1=砘
dyuw,1=礅
dywr,1=趸
dyxt,1=忳
dyxz,1=惇
dyzc,1=蹲
dyzo,1=遁
dzaa,1=豆
dzba,1=痘
dzbd,1=窦
dzbe,1=兜
dzce,1=蔸
dzer,1=陡
dziu,1=蚪
dzju,1=钭
dzpe,1=兜
dzve,1=篼
dzyd,1=读
dzza,1=逗
eeak,1=鳄
eebr,1=额
eeck,1=萼
eecv,1=苊
eecw,1=莪
eedw,1=涐
eeek,1=阿
eeew,1=峨
eefv,1=扼
eeiv,1=轭
eeiw,1=蛾
eejk,1=锷
eejw,1=锇
eeke,1=鄂
eekn,1=鹗
eekr,1=颚
eekv,1=呃
eekw,1=哦
eemd,1=阏
eenk,1=婀
eenw,1=娥
eeok,1=腭
eerw,1=俄
eetv,1=堨
eeuk,1=屙
eeuw,1=饿
eewk,1=噩
eewn,1=鹅
eeyb,1=讹
eeyk,1=谔
eeyt,1=垩
eeyx,1=恶
eezv,1=遏
eisr,1=欸
encx,1=蒽
enfx,1=摁
enkx,1=恩
eraa,1=二
erae,1=鲕
eral,1=而
erde,1=洱
erdx,1=尔
eree,1=陑
eren,1=鸸
erep,1=耏
erje,1=铒
erpv,1=儿
erre,1=佴
erue,1=饵
erwe,1=珥
erzx,1=迩
fapv,1=乏
farg,1=伐
fart,1=垡
fasd,1=罚
faus,1=砝
favd,1=发
favg,1=筏
faws,1=珐
ffar,1=鲼
ffbx,1=忿
ffcd,1=芬
ffcm,1=棻
ffdb,1=瀵
ffdt,1=奋
ffjd,1=鼢
ffmb,1=粪
ffmd,1=棼
ffmh,1=焚
ffqd,1=氛
ffrd,1=份
fftd,1=坋
fftw,1=坟
ffur,1=豮
ffxd,1=翂
ffxr,1=愤
ffyd,1=酚
fgal,1=丰
fgbx,1=疯
fgcc,1=葑
fgdf,1=沣
fgdx,1=沨
fgec,1=崶
fgee,1=酆
fgef,1=峰
fgfe,1=酆
fghf,1=烽
fgjf,1=锋
fgjx,1=风
fgjy,1=凤
fgko,1=赗
fgmx,1=枫
fgrl,1=俸
fgsz,1=缝
fgtc,1=封
fgtt,1=堼
fgux,1=砜
fgyx,1=讽
fgzf,1=逢
fhaf,1=鲂
fhcf,1=芳
fhdw,1=方
fhef,1=防
fhfe,1=邡
fhhf,1=房
fhjf,1=钫
fhnf,1=牥
fhof,1=昉
fhsf,1=纺
fhtf,1=坊
fjct,1=藩
fjcv,1=范
fjcx,1=蘩
fjdf,1=泛
fjht,1=燔
fjjf,1=帆
fjjt,1=幡
fjpt,1=番
fjpx,1=繁
fjpy,1=反
fjqv,1=犯
fjtt,1=墦
fjty,1=畈
fjuy,1=饭
fjwt,1=璠
fjzt,1=蹯
fjzy,1=返
forf,1=佛
fuac,1=鲋
fuad,1=甫
fuba,1=釜
fubb,1=宓
fubj,1=斧
fubt,1=匐
fubx,1=父
fucb,1=芣
fucc,1=苻
fucf,1=茀
fucl,1=芾
fucq,1=茯
fucy,1=菔
fucz,1=莩
fuda,1=滏
fudk,1=涪
fudq,1=洑
fudr,1=负
fudx,1=㳇
fudz,1=浮
fuec,1=附
fufb,1=艴
fufc,1=拊
fuff,1=拂
fuge,1=鄜
fugr,1=腐
fuhz,1=稃
fuif,1=蚨
fuit,1=辐
fuiw,1=蝮
fujn,1=幞
fujt,1=幅
fukc,1=咐
fukf,1=呋
fukw,1=呒
fulz,1=孵
fumc,1=榑
fumz,1=桴
fune,1=妇
fuoc,1=腑
fuof,1=肤
fuow,1=腹
fuoy,1=服
fupe,1=郛
fupq,1=袱
fupt,1=福
fupu,1=阜
fupw,1=复
fupz,1=孚
fuqf,1=氟
furc,1=傅
furq,1=伏
furz,1=俘
fusb,1=罘
fusc,1=缚
fusd,1=绂
fusf,1=绋
futb,1=赴
fuvc,1=符
fuvm,1=簠
fuwd,1=韨
fuwf,1=玞
fuwz,1=琈
fuxf,1=怫
fuxw,1=覆
fuyd,1=黻
fuyf,1=黼
fuzf,1=趺
fwaf,1=鲱
fwcf,1=菲
fwcl,1=芾
fwdb,1=淝
fwdf,1=沸
fwfd,1=剕
fwfi,1=蜚
fwfm,1=棐
fwfr,1=费
fwfx,1=翡
fwhf,1=扉
fwjr,1=镄
fwkf,1=啡
fwkq,1=吠
fwla,1=非
fwob,1=肥
fwof,1=腓
fwoi,1=朏
fwol,1=肺
fwqf,1=狒
fwsf,1=绯
fwvd,1=飞
fwvf,1=篚
fwxf,1=悱
fwyf,1=霏
fzbk,1=否
fzwk,1=缶
gaag,1=戛
gaan,1=夹
gaiv,1=轧
gajo,1=旮
gajv,1=钆
gakg,1=嘎
gakk,1=咖
gakv,1=噶
ganx,1=尕
gaok,1=胳
gark,1=伽
gaul,1=尬
gaxx,1=尜
gayl,1=尬
gcbu,1=皋
gccm,1=藁
gcfk,1=搞
gcjk,1=锆
gcmh,1=糕
gcmu,1=槔
gcne,1=郜
gcnk,1=告
gcom,1=杲
gcpg,1=睾
gcsk,1=缟
gcvk,1=筶
gcwk,1=高
gcwo,1=膏
gcyk,1=诰
gdav,1=丐
gdcr,1=荄
gddv,1=溉
gder,1=陔
gdjg,1=钙
gdjw,1=改
gdkr,1=赅
gdmv,1=概
gdng,1=戤
gdor,1=晐
gdtr,1=垓
gdyr,1=该
gead,1=戈
geal,1=鬲
gebd,1=割
gebq,1=疙
gecv,1=葛
gedk,1=哥
gedl,1=滆
geel,1=隔
gefk,1=搁
gegk,1=骼
geik,1=蛤
geiq,1=虼
gejk,1=铬
gejl,1=镉
gekk,1=咯
gekl,1=嗝
gelk,1=哿
genl,1=革
geok,1=胳
geol,1=膈
gepk,1=袼
gerk,1=合
gerl,1=个
gern,1=鸽
gerq,1=仡
gerr,1=颌
gesq,1=纥
getl,1=塥
getq,1=圪
geuk,1=饹
gevk,1=舸
gewk,1=各
geym,1=盖
gfaa,1=亘
gfcg,1=茛
gfen,1=艮
gfkg,1=哏
gfmg,1=根
gfvn,1=艮
gfzg,1=跟
ggag,1=鲠
ggan,1=更
ggdg,1=浭
ggeh,1=耿
gggn,1=鹒
gggr,1=赓
ggkg,1=哽
gglj,1=耕
ggmg,1=梗
ggsg,1=绠
ggtg,1=埂
ggvr,1=颈
ggyd,1=羹
ghdg,1=冮
ghds,1=港
ghex,1=岗
ghfg,1=扛
ghkd,1=刚
ghkx,1=冈
ghlx,1=戆
ghmx,1=㭎
ghog,1=肛
ghsv,1=罡
ghsx,1=纲
ghtv,1=堽
ghtl,1=鿍
ghug,1=矼
gjaa,1=甘
gjau,1=干
gjax,1=鳡
gjcg,1=苷
gjdg,1=泔
gjdw,1=澉
gjfg,1=擀
gjhg,1=秆
gjlr,1=赣
gjmg,1=柑
gjmw,1=橄
gjna,1=甘
gjog,1=旰
gjsg,1=绀
gjtg,1=坩
gjug,1=矸
gjum,1=尴
gjvg,1=竿
gjwg,1=玕
gjwx,1=感
gjxx,1=感
gjyg,1=酐
gjym,1=尴
gkfl,1=拐
gkqb,1=乖
gkvn,1=夬
gkxt,1=怪
gldb,1=潢
gldi,1=广
gldw,1=洸
glkw,1=咣
glmw,1=桄
glow,1=胱
glqg,1=犷
gltw,1=垙
glwp,1=广
glxw,1=光
glzw,1=逛
godn,1=涡
goek,1=聒
goez,1=崞
gofy,1=掴
goiy,1=蝈
gojy,1=帼
gokn,1=呙
goky,1=国
goln,1=果
gomg,1=粿
gomz,1=椁
gooy,1=腘
gotn,1=埚
gowe,1=郭
gowy,1=裹
grad,1=鳏
grak,1=鳤
grbc,1=冠
grbt,1=关
grcc,1=蒄
grcn,1=鹳
grdf,1=灌
grdk,1=涫
grfr,1=掼
grhf,1=爟
grmr,1=贯
grpg,1=祼
grpm,1=盥
grrk,1=倌
grsb,1=纶
grsv,1=矜
gruk,1=馆
grva,1=毌
grvk,1=管
grvr,1=贯
grwf,1=瓘
grwk,1=琯
grxr,1=惯
grye,1=观
gsaa,1=工
gsbk,1=宫
gsbs,1=公
gscb,1=共
gscx,1=恭
gsdw,1=觥
gsfb,1=拱
gsgf,1=巩
gsgl,1=功
gsgw,1=攻
gsis,1=蚣
gsos,1=肱
gsrb,1=供
gsvv,1=弓
gswb,1=珙
guak,1=鲴
gubk,1=痼
gucg,1=菰
guck,1=菇
gudo,1=汩
gudy,1=瀔
guek,1=崮
gugn,1=鹘
guhf,1=雇
guik,1=轱
guim,1=蛊
guir,1=顾
gujk,1=锢
gukg,1=呱
gukk,1=咕
gulo,1=骨
gumk,1=梏
gunk,1=牯
guoy,1=臌
gurk,1=估
gusk,1=罟
gutk,1=堌
guuk,1=古
guun,1=鸪
guuo,1=瞽
guuu,1=辜
guuw,1=故
guuy,1=毂
guvj,1=箍
guyk,1=酤
guyy,1=羖
guzg,1=孤
gvar,1=鳜
gvat,1=鲑
gvbj,1=宄
gvby,1=皈
gvdj,1=氿
gved,1=刿
gvev,1=嶲
gvfe,1=规
gvfl,1=鬶
gvij,1=轨
gvkj,1=匦
gvkr,1=匮
gvmj,1=柜
gvms,1=桧
gvmt,1=闺
gvnw,1=妫
gvoh,1=炅
gvok,1=晷
gvot,1=眭
gvps,1=鬼
gvrd,1=刽
gvre,1=郐
gvrg,1=傀
gvte,1=邽
gvtt,1=圭
gvut,1=硅
gvuv,1=硊
gvvm,1=簋
gvvr,1=贵
gvvt,1=筀
gvwg,1=瑰
gvwt,1=珪
gwsk,1=给
gxbd,1=寡
gxfk,1=括
gxft,1=挂
gxkg,1=呱
gxkn,1=呙
gxog,1=胍
gxpb,1=褂
gxpn,1=瓜
gxqd,1=刮
gxqn,1=鸹
gxtb,1=卦
gxtg,1=坬
gxyt,1=诖
gyax,1=鲧
gydy,1=滚
gyib,1=辊
gymb,1=棍
gysb,1=绲
gyug,1=硍
gywy,1=衮
gzae,1=觏
gzbs,1=勾
gzbx,1=够
gzck,1=苟
gzek,1=岣
gzfk,1=拘
gzje,1=觏
gzjs,1=钩
gzks,1=购
gzlk,1=耇
gzms,1=构
gznk,1=姤
gznr,1=媾
gzqk,1=狗
gzrk,1=佝
gzsu,1=缑
gztk,1=垢
gzuy,1=彀
gzvk,1=笱
gzvr,1=篝
gzyk,1=诟
gzzr,1=遘
haik,1=蛤
hajk,1=铪
hakk,1=哈
hcbk,1=皓
hccc,1=薅
hcck,1=蒿
hcdk,1=浩
hcdr,1=灏
hcdt,1=淏
hcim,1=蚝
hcjk,1=镐
hcku,1=嚎
hckv,1=号
hcnz,1=好
hcor,1=颢
hcot,1=昊
hcrd,1=侴
hcte,1=郝
hctu,1=壕
hcvk,1=貉
hcwe,1=鄗
hcwm,1=毫
hddm,1=海
hdkk,1=嗐
hdkm,1=嗨
hdkr,1=咳
hdmr,1=骇
hdor,1=胲
hdqr,1=氦
hdwr,1=亥
hdym,1=醢
hdzr,1=孩
heax,1=翮
heck,1=菏
hedf,1=隺
hedn,1=鹤
hehk,1=和
hehm,1=盉
hekk,1=呵
hekn,1=呙
hekv,1=喝
hekx,1=吓
helr,1=贺
helt,1=壑
hemm,1=阖
hemr,1=阂
heon,1=鹖
heov,1=曷
hepm,1=禾
hepv,1=褐
heqn,1=禾
here,1=郃
herh,1=龢
herk,1=何
herm,1=盒
herr,1=颌
hesq,1=纥
hetd,1=赫
hetk,1=垎
hetm,1=盍
heuk,1=饸
hevk,1=貉
hevq,1=龁
hewl,1=劾
hfbg,1=痕
hfig,1=很
hfkg,1=哏
hfqg,1=狠
hfxg,1=恨
hgci,1=蘅
hgii,1=行
hgin,1=鸻
hgkl,1=哼
hgmb,1=横
hgmi,1=桁
hgwi,1=珩
hgwl,1=亨
hgxa,1=恒
hhcs,1=巷
hhdj,1=沆
hhdl,1=夯
hhkj,1=吭
hhmi,1=桁
hhsi,1=绗
hhwi,1=珩
hhwr,1=颃
hjbd,1=寒
hjbg,1=罕
hjcg,1=蔊
hjck,1=菡
hjdg,1=汗
hjdk,1=涵
hjdx,1=瀚
hjdy,1=汉
hjek,1=嵅
hjfw,1=撖
hjfx,1=撼
hjge,1=邗
hjgr,1=顸
hjhg,1=焊
hjhk,1=焓
hjig,1=虷
hjkk,1=喊
hjkw,1=㘎
hjlk,1=函
hjog,1=旰
hjok,1=晗
hjon,1=暵
hjqg,1=犴
hjrk,1=含
hjrr,1=颔
hjtg,1=垾
hjuw,1=韩
hjux,1=翰
hjvx,1=憨
hjwk,1=琀
hjxg,1=悍
hjxx,1=憾
hjyg,1=酣
hjzg,1=鼾
hkdf,1=淮
hkmg,1=槐
hktb,1=坏
hkzg,1=踝
hlaw,1=鳇
hlbb,1=癀
hlcb,1=黄
hlcv,1=荒
hldb,1=潢
hldw,1=滉
hlib,1=蟥
hliw,1=徨
hljw,1=幌
hlkw,1=喤
hlnw,1=媓
hlow,1=晃
hlvb,1=簧
hlvw,1=篁
